"Line Probe: Direction [1,0,0] (cm)","Line Probe: Temperature (K)"
187.800492,857.7932452560719
188.04252,873.0988626042259
188.28454799999997,878.7833719444714
188.52657599999998,879.3559853112909
188.76860399999998,879.1983763103245
189.010632,880.3978397137789
189.25266,886.2796616804192
189.49468799999997,888.5904554933236
189.736716,889.4769089374688
189.97874399999998,890.3139205196183
190.22077199999998,890.6730713111248
190.46279999999996,892.5659726318097
190.704828,894.300222675763
190.946856,893.9456821771338
191.18888399999997,893.4342547911156
191.430912,893.0805110568346
191.67293999999998,898.1984257899364
191.914968,904.1857900466241
192.15699599999996,903.3426181829096
192.39902399999997,903.2795014217439
192.64105199999997,903.1851730681727
192.88307999999998,882.7492138770012
193.12510799999998,866.3995295834688
193.367136,864.1056533158334
193.609164,865.223458012614
193.85119199999997,865.8661291466736
194.09321999999997,866.6962601075721
194.33524799999998,863.9886731273933
194.57727599999998,864.6584850935129
194.819304,865.3352715347378
195.06133199999996,867.027401873316
195.30336,868.3429809358249
195.54538799999997,870.2568573097047
195.78741599999998,870.595757315859
196.02944399999998,870.8110425775667
196.271472,872.0758133430132
196.5135,885.5788647847689
196.75552799999997,924.7401605093768
196.997556,928.8095624955796
197.23958399999998,928.8264358005331
197.48161199999998,928.9053081014822
197.72363999999996,904.0068414007415
197.965668,875.7544430979343
198.207696,872.2569454215699
198.44972399999997,872.2240848847752
198.691752,872.0216729645499
198.93377999999998,871.3650485682547
199.175808,864.9908148084288
199.41783599999997,864.6272275558384
199.65986399999997,864.1921794893623
199.90189199999998,862.9540954859959
200.14392,862.0455114263951
200.38594799999998,863.7104319643295
200.627976,862.4698229937449
200.870004,861.9483770056378
201.11203199999997,861.5041190453214
201.35405999999998,859.0501833598623
201.59608799999998,858.7674468606531
201.83811599999996,858.6553993384169
202.08014399999996,858.6193876563676
202.322172,858.7030786470339
202.5642,858.8358552809365
202.80622799999998,857.4947109222007
203.04825599999998,857.2789437540324
203.29028399999999,856.5328396475957
166.26,834.6353175821534
166.50202799999997,834.7959931497843
166.744056,835.0114737446656
166.98608399999998,835.4177389177601
167.22811199999998,835.7438375984867
167.47014,856.7926810278611
167.712168,862.8918432128461
167.954196,863.8244324688118
168.19622399999997,864.1113094076403
168.43825199999998,863.7792713525741
168.68027999999998,861.1274562032836
168.922308,856.7405407463766
169.164336,856.699762127821
169.40636399999997,856.7068252672174
169.648392,856.7887846965082
169.89041999999998,855.1356010653807
170.13244799999998,850.9838325633798
