"Time","Density -TS00 Monitor: Density -TS00 Monitor (kg/m^3)","Density -TS01 Monitor: Density -TS01 Monitor (kg/m^3)","Density -TS02 Monitor: Density -TS02 Monitor (kg/m^3)","Density -TS03 Monitor: Density -TS03 Monitor (kg/m^3)","Density -TS04 Monitor: Density -TS04 Monitor (kg/m^3)","Density -TS05 Monitor: Density -TS05 Monitor (kg/m^3)"
0.0021509999999991323,0.5985426922640369,0.3305594922402173,0.4432788135172896,0.40841854646645553,0.3525912661121851,0.27307335314247627
0.002152999999999138,0.5990504232204609,0.3305195046524255,0.44379172461320837,0.4085413939080072,0.3526177088187931,0.2732922438522568
0.0021549999999991433,0.5996603868745936,0.33049556129792235,0.4442951856405394,0.4086792922684477,0.35264643615615693,0.2735123959993128
0.0021569999999991487,0.6001854797558871,0.33048343829385807,0.4446902550435422,0.40881430994255646,0.35265884670654823,0.2737371161766757
0.0021590499999991544,0.6006759590001736,0.33047377482014373,0.4450839063107674,0.40893258281157413,0.3526469934124915,0.273972699905222
0.00216104999999916,0.6014012147417909,0.330459788141029,0.4454230089106231,0.40902036758943433,0.3526197891093734,0.27420645595489035
0.0021630499999991653,0.6021788901431371,0.3304404875364581,0.4458079707701197,0.4090768027408013,0.3525958809298977,0.27444340098334574
0.002165099999999171,0.6027644854503008,0.33042058314329964,0.446356153250959,0.4091091351668277,0.3525975585935284,0.2746888340181852
0.0021670999999991764,0.6033848163493198,0.33040704373194596,0.44692736485803225,0.40914297809034067,0.3526298450887237,0.2749292497660989
0.002169099999999182,0.6043056208520103,0.3304008008504951,0.44740212071033825,0.4092020974426035,0.3526752760424877,0.27517051254630703
0.0021711499999991874,0.6054693620954963,0.33039854053853024,0.44778803321292804,0.4092926888304166,0.3527104342990175,0.27541768370536013
0.002173149999999193,0.606645651179857,0.33039661167595985,0.4481198908031696,0.4094004179698653,0.3527210074814762,0.27565819776153716
0.0021751499999991984,0.6077583754328288,0.33039514039185214,0.4484247151863066,0.40951186702724374,0.3527149228336938,0.27589852947124427
0.002177199999999204,0.6087893097892028,0.33039814315196236,0.4486647886184355,0.4096077976254796,0.3527098013540515,0.2761447178697959
0.0021791999999992095,0.6097399217752684,0.33040765197418404,0.4488779313154703,0.4096667642655194,0.35271779456799235,0.27638483711720035
0.002181199999999215,0.6107387382989627,0.33042120795020136,0.4492258123608844,0.40970050125766766,0.35273542189531587,0.27662418751399137
0.0021832499999992205,0.611862951719104,0.33043566987126577,0.4497195794082663,0.4097409307505433,0.35274686227598756,0.27686849081758724
0.002185249999999226,0.6130644537028558,0.3304502383591167,0.4501567150918066,0.4098141957934152,0.3527419350426202,0.27710668995288895
0.0021872499999992315,0.6143300903861512,0.33046683133550747,0.45044122652320034,0.4099165593502531,0.35272545325350835,0.2773454156542806
0.002189299999999237,0.6156317038972927,0.3304839984287545,0.4506531015494983,0.4100112076482225,0.35271235423859143,0.27759037592851266
0.0021912999999992426,0.6169279747550394,0.3304962817196391,0.4508757367005118,0.4100514748966262,0.35271542573799086,0.277829417424975
0.002193299999999248,0.6183474755776089,0.3305033039542137,0.4511138798412339,0.41003117558118785,0.3527306694220617,0.27806904181247877
0.0021953499999992536,0.6198966561376219,0.3305098890822584,0.4513638474471548,0.40999376019509026,0.352741806364613,0.278316129181534
0.002197349999999259,0.6213158632824074,0.3305216130885571,0.4516353974437364,0.4099958162399721,0.352731328849204,0.2785590628188533
0.0021993499999992646,0.6224900531318557,0.3305404338378731,0.45191924474284095,0.4100501240447962,0.3526962368277329,0.27880445190968134
0.00220134999999927,0.623447977717542,0.3305642851721721,0.4521650114725782,0.410118931168703,0.35265044091001224,0.27905156374900336
0.0022033999999992756,0.6244043290893858,0.3306164145127623,0.45237585271945296,0.410148039243997,0.3526132235752404,0.2793052538360438
0.002205399999999281,0.6254709721522322,0.3307321064260642,0.45257571363311044,0.4101072141463886,0.3525957804801472,0.27955341669395684
0.0022073999999992866,0.6265754805003709,0.3302120654182601,0.45277794876831917,0.41001561721263147,0.3525897855365477,0.2798008883122887
0.002209449999999292,0.6275508732110733,0.3287078547874453,0.4529778368922886,0.40991728194459753,0.35257850344943836,0.2800525530864353
0.0022114499999992977,0.6283585691660962,0.35335998526716283,0.4531589331119617,0.40984855653040436,0.3525489648252955,0.2802964460245551
0.002213449999999303,0.6292173918353693,0.4250553242099343,0.4533297858881637,0.40980839877515657,0.35250190457258057,0.28053943859478314
0.0022154999999993087,0.6302199045376543,0.47378135775123065,0.4535069097342167,0.40978372821557246,0.3524505593688099,0.2807876155961213
0.002217499999999314,0.6312210124244407,0.48742133019349243,0.4536860176286318,0.40976434864660854,0.3524140266327138,0.281029261639451
0.0022194999999993197,0.6321981486648534,0.4932416638817566,0.45385080924534776,0.40974005665594027,0.35239441746144085,0.28126992717948773
0.0022215499999993253,0.6332457216457521,0.49739698612569955,0.45395937644304357,0.4096981314547758,0.3523798816746779,0.2815153552092841
0.0022235499999993307,0.6343934120812115,0.49904726193985466,0.4540025822342317,0.4096308637600279,0.35235482057528156,0.2817538999854274
0.0022255499999993362,0.6356218806505363,0.4999729310487825,0.4540381069301614,0.4095389215772783,0.3523118159046793,0.28199130577082715
0.002227599999999342,0.6367965719392211,0.5003288057983246,0.454110489431132,0.40943052303702826,0.3522555517071222,0.2822318025686369
0.0022295999999993473,0.6377229574128825,0.5007135751618119,0.45421277431049717,0.4093205755848172,0.3522017824318074,0.28246381887912314
0.0022315999999993528,0.6384487166365924,0.5018664790690794,0.45433078398833904,0.409212975453451,0.3521551407314724,0.2826963277012754
0.0022336499999993584,0.6390935085167723,0.503040344141467,0.4544652995866557,0.4091128201856746,0.3521093495911634,0.28293811018159215
0.002235649999999364,0.6397357953193301,0.5035559799079735,0.4545905327940695,0.40903542689775113,0.35205629907256464,0.28317760716985463
0.0022376499999993693,0.6404709096401703,0.5039826355283493,0.45466688682393674,0.4089843869217606,0.3519916829812206,0.2834192313067853
0.002239699999999375,0.6413326182582819,0.5045977643202814,0.45467252214394593,0.40895187059735816,0.3519235129802277,0.2836673642996365
0.0022416999999993804,0.6422051356077463,0.5051666090549594,0.45464923321404177,0.40892050523111945,0.3518696811324569,0.2839083019886256
0.002243699999999386,0.6430240124807759,0.5054912525296416,0.45469147437202634,0.40886941931940457,0.35183476754779003,0.2841468122312747
0.0022456999999993913,0.6437743532814532,0.5057190222156352,0.45483174960340045,0.4087900145187839,0.35180955075694653,0.28438241418621574
0.002247749999999397,0.6445283916558691,0.5060329014379723,0.45500866848447047,0.4086858600524742,0.35177705790864333,0.28462136281404493
0.0022497499999994024,0.6452928171421917,0.5064416643081321,0.4551354327702059,0.40857862954934154,0.351727926123332,0.2848526508004669
0.002251749999999408,0.646076059515829,0.5068285792517786,0.45519327664867415,0.4084790100425869,0.3516653379867479,0.2850819090338314
0.0022537999999994135,0.6468731118681538,0.5071176894147547,0.455203033343276,0.4083868794487889,0.35160322228526353,0.2853134618873736
0.002255799999999419,0.6476250250961163,0.5073105949970986,0.45518753064889483,0.4082997185982189,0.35155937741120813,0.2855343256172976
0.0022577999999994244,0.6483345847001549,0.5075287599573296,0.4551610443775907,0.40820928684250013,0.35153327503725756,0.2857487737726269
0.00225984999999943,0.6489936211757376,0.5077553776778198,0.4551403398338687,0.40811496486353505,0.35151483786542337,0.2859613996625556
0.0022618499999994355,0.6495487933962304,0.5078777436982844,0.4551379649045088,0.40802978522265176,0.35149323219147044,0.28616278564768294
0.002263849999999441,0.6500394830867706,0.5079040105039836,0.4551475821466413,0.4079574886189427,0.3514616132467866,0.2863599429356303
0.0022658999999994466,0.6505467624229538,0.507881990729001,0.45515384090534167,0.4078909534239085,0.35142097356079416,0.2865601272338569
0.002267899999999452,0.6510819081283383,0.5078841086765027,0.45515277952199945,0.4078181662285717,0.35138057007449036,0.2867559161572309
0.0022698999999994575,0.6516162783914662,0.5079849740621714,0.4551525779997164,0.4077245666067343,0.3513468310729596,0.2869537004427627
