"Time","Temperature -TS00 Monitor: Temperature -TS00 Monitor (K)","Temperature -TS01 Monitor: Temperature -TS01 Monitor (K)","Temperature -TS02 Monitor: Temperature -TS02 Monitor (K)","Temperature -TS03 Monitor: Temperature -TS03 Monitor (K)","Temperature -TS04 Monitor: Temperature -TS04 Monitor (K)","Temperature -TS05 Monitor: Temperature -TS05 Monitor (K)"
0.003682600000003321,556.5381362667745,628.2442164585989,689.0982525368845,779.242453141651,867.659712548974,2352.092227676476
0.003683650000003324,556.3386394839571,628.2457726201394,689.1071584357093,779.5072966525684,867.8142715520431,2352.1059363785907
0.0036847000000033267,556.1378387951064,628.2568292081065,689.1068969178239,779.7496622945512,867.9843112750037,2352.1291440163845
0.0036857500000033296,555.9316758828306,628.3145828857896,689.1115984255475,779.9169540046673,868.1575078685202,2352.159135618036
0.0036868000000033325,555.7217948366034,628.3724016411336,689.1180775019094,780.0429557100229,868.3489788781429,2352.1925985823054
0.0036878500000033353,555.5070381656772,628.4189861184543,689.1329108587264,780.1458402121849,868.5563532310737,2352.2264503980946
0.003688900000003338,555.2884851636967,628.4625120509586,689.1560516977091,780.234332214655,868.7461919487156,2352.2586026275712
0.003689950000003341,555.0707908922211,628.5067002728565,689.1849725331953,780.307761879852,868.9046852882258,2352.2872149197765
0.003691000000003344,554.8581086746954,628.531470965193,689.1842992847618,780.3218004112505,868.9560178951164,2352.3130994795033
0.003692050000003347,554.6403438474391,628.5742324800742,689.1894789433065,780.3435439851668,868.9840865387777,2352.335800605146
0.0036931000000033497,554.4188270202908,628.6253836641775,689.199848852934,780.3757832435414,869.0030758506293,2352.352965903901
0.0036941500000033526,554.1979802218997,628.6785461802443,689.2243080240966,780.4046106164822,869.0293945279086,2352.3645954964736
0.0036952000000033554,553.9808343155048,628.7327582616032,689.2670185069026,780.453087518759,869.0801665701377,2352.3691242263108
0.0036962500000033583,553.7625632776379,628.8087517717478,689.3387118314777,780.6095830797009,869.1653589832496,2352.3645221823317
0.003697300000003361,553.5522002944662,628.8837510958106,689.4155942107116,780.7473869655557,869.2401560624286,2352.348420898751
0.003698350000003364,553.3514924184464,628.9514542514548,689.5047598149106,780.8835858900981,869.3065057482851,2352.31872026077
0.003699400000003367,553.1584717753177,629.0094735753185,689.6066847027979,781.0309811907688,869.3635496221775,2352.2741580767342
0.00370045000000337,552.97231636632,629.0453639482186,689.7236088240641,781.1894493222703,869.3897418837873,2352.2139501898346
0.0037015000000033727,552.7933570155167,629.0497125308956,689.8402061970862,781.3389128315084,869.3772150902851,2352.1378847664982
0.0037025500000033755,552.6182709533538,629.0517030715675,689.9184318944806,781.4929022163502,869.3663000574243,2352.0469608135777
0.0037036500000033785,552.4408105628596,629.0639613834949,689.9690676376044,781.6527755023723,869.3613075673005,2351.93774647448
0.0037047000000033814,552.2730745421657,629.091283945106,690.0029179888395,781.804669754835,869.3611430598512,2351.8223719184125
0.0037057500000033843,552.1012002583016,629.1485966735064,690.0610420797985,781.9942858168084,869.4820245141332,2351.698396284043
0.003706800000003387,551.9144662036645,629.2246637215223,690.1430608561587,782.2001586271265,869.6314313387768,2351.5679944317862
0.00370785000000339,551.712315929065,629.3214007076924,690.2341351725224,782.4026394495817,869.7654604136667,2351.4331348627293
0.003708900000003393,551.4940302244383,629.4384894276006,690.3188381754641,782.5982436750846,869.8957682442165,2351.295487424649
0.0037099500000033958,551.2654810422096,629.5686556356392,690.3962663491983,782.7848224819413,870.0326779441605,2351.15595922416
0.0037110000000033986,551.0370481937263,629.7057293443602,690.5246859023785,782.9005301396227,870.1096473053103,2351.0174133471282
