"Time","Density -TS00 Monitor: Density -TS00 Monitor (kg/m^3)","Density -TS01 Monitor: Density -TS01 Monitor (kg/m^3)","Density -TS02 Monitor: Density -TS02 Monitor (kg/m^3)","Density -TS03 Monitor: Density -TS03 Monitor (kg/m^3)","Density -TS04 Monitor: Density -TS04 Monitor (kg/m^3)","Density -TS05 Monitor: Density -TS05 Monitor (kg/m^3)"
0.0038056000000036574,1.9522079893972324,1.7726653476659788,1.6604203091257217,1.4693291717214754,1.1093791341092853,0.39000656462631345
0.0038066500000036602,1.9527796984096302,1.772695392008042,1.660918477416753,1.4699127997296186,1.1090494391951518,0.39004672153321773
0.003807700000003663,1.9533002066240124,1.772701726831855,1.6614139210461285,1.4705313638897801,1.1087759179644452,0.3900852012093284
0.003808750000003666,1.9538045532524333,1.7726927501205723,1.6618536412607032,1.4711669497982813,1.1085358709466624,0.3901219046563172
0.003809800000003669,1.9543147693529148,1.772682537536047,1.6622620128820067,1.471781988822473,1.1083118424910243,0.39015674702785086
0.0038108500000036717,1.954837510379588,1.7726786583931258,1.662464184547753,1.472336781343594,1.108088771974413,0.39018983066658197
0.0038119000000036746,1.9553912282900139,1.7726896488447577,1.6624292678509425,1.4728148366137561,1.1078213833285426,0.3902213645087927
0.0038129500000036775,1.955941844094851,1.7726769857967508,1.6623279839181473,1.4732185497611066,1.1075028807818101,0.39025164494038633
0.0038140000000036803,1.9564635178963614,1.772623869016543,1.662281494376224,1.4735524749452493,1.107168982023186,0.3902810050707987
0.003815050000003683,1.9569694748879216,1.7725589759122056,1.66231884902008,1.4738436829997061,1.1068489842983624,0.39030976879690377
0.003816100000003686,1.9574875108307863,1.772436413782521,1.6625787242538783,1.474133121239224,1.1065686325178155,0.39033820287410803
0.003817150000003689,1.9580203278080746,1.7722291745018082,1.6629439979328582,1.474433617301601,1.1063364642379923,0.3903665967649358
0.003818200000003692,1.958568068567737,1.772000643763595,1.6633608536932751,1.474749627419132,1.1061422314144487,0.39039522101339885
0.0038192500000036947,1.9591477985105683,1.7717864535248762,1.6637837968939824,1.4750669150784481,1.1059694368006487,0.3904242948401037
0.0038203000000036976,1.9597654157690065,1.7715804882012773,1.664167217577115,1.475381456464895,1.1057921164497575,0.3904539130123286
0.0038213500000037004,1.9604443973123367,1.7714777793797556,1.6645407997750152,1.475724136152038,1.1056178328743396,0.3904840055017713
0.0038224000000037033,1.961137073233005,1.7715033055519254,1.6648916985616578,1.4760644066736879,1.1054122303464422,0.39051442224060656
0.003823450000003706,1.9618165573619086,1.7716276631647907,1.6652369649471668,1.4764160058618956,1.1051776816766488,0.3905449731118559
0.003824500000003709,1.9624729072176956,1.7718229858897792,1.6656103488011076,1.4767939259661158,1.1049379892274154,0.39057551389942075
0.003825550000003712,1.9631054842291624,1.7720965402788957,1.6659926219186492,1.477197199069038,1.1047047809014112,0.39060604286053907
0.003826600000003715,1.9637568938592975,1.7724178403151978,1.6663576469035544,1.4776235229878976,1.1044767213415243,0.3906366548061078
0.003827700000003718,1.964439322095558,1.7726986982405764,1.666783740339036,1.4781401096663465,1.1042625826685986,0.390668870016654
0.0038287500000037207,1.9650437886812768,1.7729071994601504,1.6671869528664558,1.4786989762898841,1.1040962849724207,0.39069975189928585
0.0038298000000037235,1.96562157331432,1.7730790703855537,1.6675602317431752,1.4792996731179209,1.1039656438582353,0.3907307827906918
0.0038308500000037264,1.9661421952023894,1.7732053169423385,1.667887908572758,1.4799097588058086,1.1038875644805983,0.3907619154387979
0.0038319000000037293,1.9665623236288767,1.7733158046083248,1.6681211255547541,1.480495991020925,1.1038477873453174,0.3907932583669881
0.003832950000003732,1.966938932251173,1.773417604160734,1.6682990522686705,1.4810255184330792,1.1038323039266418,0.3908246803608351
0.003834000000003735,1.96728001862567,1.773503806822877,1.668456420962995,1.4815011582304105,1.1038203226877272,0.3908560029466646
0.003835050000003738,1.967598043759088,1.7735776538074388,1.6685939707991544,1.4819484353848966,1.1037864434511286,0.39088703590267654
0.0038361000000037408,1.967905827057411,1.7736241213796506,1.6687211662784143,1.482356740504042,1.1036869600850765,0.39091766518895327
0.0038371500000037436,1.9681881513259023,1.7736757344175875,1.6688400781493242,1.482795681583266,1.1035666222023464,0.3909478668006823
0.0038382000000037465,1.9684693795654937,1.773807488836541,1.6689390432656355,1.4832858522553163,1.1034098905700416,0.3909777379474135
0.0038392500000037494,1.9687770040034454,1.7740376389529713,1.669008904283087,1.483831629855675,1.1032219515797004,0.391007532927825
0.0038403000000037523,1.9691564278222093,1.7743477158340253,1.6690668248778775,1.4844115215918554,1.1030235945836604,0.3910376210141962
0.003841350000003755,1.969620410556156,1.7747243564914488,1.6691654389294983,1.4850172125322882,1.1028637085570139,0.39106836240333487
0.003842400000003758,1.9701598767245778,1.7751517334757543,1.6693153012257123,1.4855391998447298,1.1026835757661133,0.39110011962227076
0.003843450000003761,1.9708030121330615,1.775552948535558,1.669538357230862,1.4859754602849804,1.1024769541551438,0.3911332598468213
0.0038445000000037637,1.9715274481563487,1.7758692577888768,1.6698161561145355,1.4863485174628912,1.1022391916134395,0.3911681881777381
0.0038455500000037666,1.9722816810833401,1.776109056320563,1.6702100721567497,1.4866599945013697,1.1019907574355376,0.39120528769157137
0.0038466000000037695,1.9730466150702348,1.776334265043697,1.670770692449121,1.4869200058599912,1.1017381071143661,0.39124491068088596
0.0038476500000037724,1.9738289603842802,1.7765238861871309,1.6714012454227698,1.4871899002061868,1.1014873375092329,0.39128740239283005
0.0038487000000037752,1.9745929054097495,1.7766586041142391,1.6720859482282404,1.4874396179582041,1.101242913674004,0.3913339143414163
0.003849750000003778,1.975320099283064,1.7767539568397699,1.6727704556780354,1.4876352702638913,1.10101484113911,0.39138546722643647
0.003850800000003781,1.976025869441339,1.7768277736096976,1.6733381827933076,1.4877804900448963,1.1007948527279312,0.39144209179707967
0.003851850000003784,1.9766982239969366,1.7768958599372913,1.6737756424005013,1.4879003964601076,1.10058565614084,0.39150230856598495
0.0038529000000037867,1.977350964313352,1.7770432102673261,1.6740827434346968,1.4879832564439892,1.100375529008618,0.3915626710949064
0.0038539500000037896,1.978025929423097,1.7772725296332001,1.674270486791551,1.4880762626181732,1.1001426212300804,0.3916249977797083
