"Time","Density -TS00 Monitor: Density -TS00 Monitor (kg/m^3)","Density -TS01 Monitor: Density -TS01 Monitor (kg/m^3)","Density -TS02 Monitor: Density -TS02 Monitor (kg/m^3)","Density -TS03 Monitor: Density -TS03 Monitor (kg/m^3)","Density -TS04 Monitor: Density -TS04 Monitor (kg/m^3)","Density -TS05 Monitor: Density -TS05 Monitor (kg/m^3)"
0.001347749999999561,0.4013938094059074,0.41638351793214956,0.3842145592864578,0.30317654019636686,0.18064047813936615,0.1431458952914909
0.0013487999999995594,0.40143646974993363,0.4165721491377393,0.3846363223697537,0.3040981902789668,0.18105968590458577,0.14328681862181644
0.0013498499999995577,0.40147301720607265,0.416938303332693,0.3851860059662385,0.3049413626182091,0.18141406272828717,0.14342946156414096
0.001350899999999556,0.40150366942353377,0.41735563121460634,0.3858347449306504,0.3056568631716408,0.1817744067588961,0.14357569831888645
0.0013519499999995544,0.40152854226735246,0.4176477886908827,0.3864904073779555,0.3062431771706398,0.1821603179449426,0.1437288064729276
0.0013529999999995527,0.40154784296579027,0.41776531466665323,0.38725777822401414,0.30685769738637486,0.18258658781728118,0.14389420233660347
0.001354049999999551,0.4015620708992235,0.4177333572672731,0.3880085613384009,0.3075892940932317,0.18309963409463673,0.1440656286948372
0.0013550999999995493,0.4015727241667127,0.4175978416059871,0.388509716763231,0.30839211754910817,0.1837091351980311,0.14425832227436852
0.0013561499999995476,0.4015819369159189,0.41749226506873494,0.3887589718382945,0.3092325157707833,0.18438390039577812,0.14447943080819434
0.001357199999999546,0.401591992468462,0.41757953661580693,0.38880653628424555,0.3100905969270998,0.18505579346288945,0.14473715921364688
0.0013582499999995443,0.40160531301582436,0.4178276378725708,0.3886316131704411,0.31081413637326055,0.18572241708585774,0.14503758486132173
0.0013592999999995426,0.4016235846205962,0.41808302728252017,0.3885093229807938,0.3113572267134423,0.18636032148007017,0.14538476239705792
0.001360349999999541,0.4016469827075945,0.41824968668905427,0.38871799248392136,0.3118271652673788,0.1869212260743989,0.14578139805385473
0.0013613999999995392,0.40167528880661596,0.41829355946498264,0.3892832826945198,0.31233124271984786,0.18741715262931202,0.14622685725825382
0.0013624499999995376,0.40170802241595355,0.41820553070541416,0.3900206705761632,0.312920330165144,0.18788144269380788,0.1467129436385162
0.0013634999999995359,0.4017438976507327,0.4180575121681457,0.3906962606386235,0.31357098396109123,0.1882782490160436,0.14722377631373454
0.0013645499999995342,0.4017818922829926,0.41798238628144696,0.39114572638884737,0.31422705970611375,0.18861715304966462,0.14774002255084961
0.0013655999999995325,0.4018215601782687,0.4180541965649889,0.39130907438873075,0.31484748739778856,0.18897082645939073,0.1482456543799645
0.0013666499999995308,0.40186265672556354,0.41830112656797075,0.39124093819128736,0.3153532800122853,0.1893587736729831,0.14873056531124354
0.0013676999999995291,0.4019050684601436,0.4186021417425767,0.39110534878624253,0.3157283259578735,0.189786477141619,0.14918973855853412
