"Time","Temperature -TS00 Monitor: Temperature -TS00 Monitor (K)","Temperature -TS01 Monitor: Temperature -TS01 Monitor (K)","Temperature -TS02 Monitor: Temperature -TS02 Monitor (K)","Temperature -TS03 Monitor: Temperature -TS03 Monitor (K)","Temperature -TS04 Monitor: Temperature -TS04 Monitor (K)","Temperature -TS05 Monitor: Temperature -TS05 Monitor (K)"
0.004521500000000279,387.87581976870916,596.8391727132556,623.19282849164,675.32554431728,777.2583089079352,2247.0122350266174
0.0045225500000002725,387.6779829237384,596.8141536019983,623.1778729370961,675.3341392923641,777.2381952633913,2247.0431218362596
0.004523600000000266,387.47696675476817,596.7862949069878,623.1473380642614,675.3111147820171,777.1986027393807,2247.0662248134095
0.00452465000000026,387.2739299381263,596.7618974638972,623.0935569270538,675.2573528253976,777.1508695460843,2247.081686068322
0.004525700000000254,387.069757927646,596.7773548681183,623.0094507629738,675.218859131751,777.2145406840444,2247.093083168598
0.004526750000000248,386.8662648893789,596.8200121983292,622.8918793158845,675.165759710406,777.3025139222326,2247.1063675683704
0.004527800000000241,386.66976064542774,596.8642310174797,622.7476014849541,675.0875089899437,777.3450377633482,2247.1225790376543
0.004528850000000235,386.48531451686523,596.9112306844811,622.5940841999926,675.0019505770656,777.3365908035005,2247.143691506131
0.004529900000000229,386.3080754529299,596.9635201055482,622.4460916011496,674.9206899850757,777.2561935147793,2247.170974838164
0.004530950000000223,386.13997612746357,596.9688147347638,622.2997246058253,674.8869792099327,776.98613223852,2247.2053817327005
0.004532000000000216,385.9762289145881,596.975084004112,622.1737262283408,674.8680565313665,776.7005748283498,2247.2506624628313
0.00453305000000021,385.81103029057573,596.9919656394668,622.068552299163,674.8507468344178,776.4918632068733,2247.307227511844
0.004534100000000204,385.6408728393984,597.028239238543,621.9630635123806,674.8298534518559,776.3855279609463,2247.3745543522227
0.004535200000000197,385.4568235908026,597.083180427102,621.8326529932682,674.7907766322352,776.3659771664568,2247.456033027689
0.004536250000000191,385.27955603299336,597.1593315153798,621.6837884277124,674.6981476456052,776.5554329113008,2247.5402941633797
0.004537300000000185,385.0996620944228,597.2150442174712,621.527416719388,674.621641340385,777.2755389020783,2247.626337982875
