"Line Probe: Direction [1,0,0] (cm)","Line Probe: Absolute Pressure (Pa)"
212.97140399999995,1685.207891971164
213.213432,1684.9513451254606
213.45546,1685.2528597519995
213.697488,1685.7858785918506
213.93951599999997,1687.9349333206192
214.18154399999997,1689.0749662538292
214.42357199999998,1690.2389886011224
214.6656,1692.9793632916408
214.907628,1694.8076261736132
215.149656,1696.5918210973323
215.391684,1701.0664572201495
215.63371199999997,1703.627882882196
215.87573999999998,1705.8143562216137
216.11776799999998,1709.8938071469456
216.35979599999996,1711.3082576687157
216.60182399999997,1712.2811044769187
216.84385199999994,1713.7675531739515
217.08588,1714.3099852892192
217.32790799999998,1715.2899219856045
217.56993599999998,1715.6022395391483
217.811964,1715.559503830329
203.53231199999996,1655.9021223056334
203.77434,1655.9018849418644
204.016368,1655.5658194474818
204.258396,1655.3069936677348
204.50042399999998,1654.9568504273338
204.742452,1653.644492055886
204.98447999999996,1652.7817961055262
205.22650799999997,1651.7004127905093
205.46853599999997,1649.2606275775324
205.71056399999995,1648.2960666945146
205.952592,1647.7946722871711
206.19462,1648.160699373606
206.436648,1649.0506648987794
206.67867599999997,1649.995901535236
206.92070399999997,1651.6115975218563
207.16273199999998,1652.199093647927
207.40476,1652.560612159592
207.646788,1652.8959731956566
207.888816,1653.0656172725576
208.130844,1653.3394649354886
208.37287199999997,1654.9254758693714
208.61489999999998,1655.6944114768557
208.85692799999998,1656.8319240173587
209.09895599999996,1659.9042618522944
209.34098399999996,1661.3703413323674
209.583012,1662.872545952181
209.82504,1665.8526732559403
210.06706799999998,1667.6103443876636
210.30909599999998,1671.679421512672
218.05399199999997,1714.5364112417737
218.29601999999997,1713.6305607865215
218.538048,1712.4114063374145
218.780076,1709.02161542268
219.02210399999998,1706.755008694221
219.264132,1704.3626145364105
219.50615999999997,1699.2536894461664
219.74818799999997,1697.1462644357234
219.99021599999998,1695.1611690576974
220.23224399999995,1692.350701012634
220.47427199999996,1691.1228941632726
220.7163,1689.8120703854074
220.958328,1687.7049638230237
221.20035599999997,1686.9064144791482
221.44238399999998,1686.209290935978
221.68441199999998,1684.5966720141005
221.92644,1683.6297908051056
222.168468,1682.5172664751735
222.410496,1680.075550567024
222.652524,1678.908875967929
222.89455199999998,1677.974625483228
223.13657999999998,1676.6560865858773
223.37860799999999,1676.1018715871032
223.62063599999996,1675.5502291507728
223.86266399999997,1674.3678189653874
224.10469199999994,1673.8672674002883
224.34672,1674.2970801120682
224.58874799999998,1675.17015362058
224.830776,1676.923421892352
225.072804,1681.5790862740541
225.31483199999997,1684.0263021215505
225.55685999999997,1686.0211336811626
225.798888,1690.66750380522
226.040916,1692.8982727687398
226.282944,1694.8983226869314
226.524972,1699.455194588416
226.76699999999997,1701.5819584565616
227.00902799999997,1703.5130727279611
227.25105599999998,1707.6700538350706
227.49308399999995,1709.268710215707
227.73511199999996,1710.3179802991945
227.97714,1711.1649114386382
228.219168,1711.2264998407336
228.46119599999997,1711.0208631878922
228.70322399999998,1709.269206012439
228.94525199999998,1707.7837836477265
229.18727999999996,1706.3572950835223
229.429308,1703.7509153020073
229.671336,1702.717538422221
229.913364,1701.7793305471278
230.15539199999998,1700.8031313921238
230.39741999999998,1700.8642636850564
230.639448,1701.3748430784326
230.88147599999996,1703.3439950688335
231.12350399999997,1704.3649867838976
231.36553199999994,1706.7951539503265
231.60756,1707.3516830073058
231.84958799999998,1707.4802720319713
232.091616,1706.6684429940797
232.333644,1705.2415093598102
232.57567199999997,1702.5147913867695
232.8177,1694.3387915025232
233.059728,1689.9582186066255
233.301756,1685.8672232369718
233.543784,1679.9537939907168
233.785812,1677.5937260600476
234.02783999999997,1675.8042230513965
282.19141199999996,1585.3111510966846
282.43343999999996,1582.4091760268784
282.67546799999997,1579.0106451168685
282.91749599999997,1577.7415283188893
283.1595239999999,1577.0888050147187
283.401552,1576.791797457554
283.64358,1576.7974592102546
283.885608,1576.8868858496571
284.12763599999994,1577.31799923176
284.369664,1577.4345406698703
284.611692,1577.3709084369766
284.85372,1577.1306331107771
285.095748,1576.885501121491
285.33777599999996,1576.477439262264
285.57980399999997,1575.095577282671
285.821832,1574.4492412304826
286.06386,1574.1278884898347
286.305888,1574.3103212495917
286.54791599999993,1574.7893997380597
286.78994399999993,1575.522684415555
287.031972,1577.106107464817
287.274,1577.6610439662036
265.733508,1668.0928816051746
265.975536,1663.4824151908397
266.217564,1661.1837896952493
266.459592,1658.7725325657811
266.70162,1654.607396589272
266.943648,1652.5592904697842
267.185676,1650.5936001277441
267.42770399999995,1646.8957680362364
267.66973199999995,1645.0488105561817
267.91175999999996,1641.405962774952
268.15378799999996,1639.9252587261144
268.39581599999997,1638.5100489193137
268.637844,1636.818119421645
268.879872,1636.5922305094864
269.1219,1636.9186431447888
269.363928,1639.2076617044222
269.605956,1640.6867951068707
269.847984,1642.5126591166918
270.090012,1647.1379356653633
270.33204,1649.2804796309647
270.574068,1651.2982114380138
270.81609599999996,1653.190522135148
271.05812399999996,1653.2954571942682
271.30015199999997,1653.2195965689025
271.54218,1652.5405119765346
271.784208,1651.8399741075264
272.0262359999999,1651.10216351891
272.268264,1649.7984512891562
272.510292,1649.7604723587283
272.75232,1650.0116480060678
272.99434799999995,1651.0544893343613
273.236376,1651.6891973034071
273.478404,1652.1842623190314
273.720432,1652.4722454661533
273.96245999999996,1652.1935258688463
274.20448799999997,1651.4795226101123
274.446516,1648.0187345735467
274.688544,1645.2770058209717
